iter	Passed	Remaining
416	4613	6449
417	4624	6438
418	4636	6429
419	4647	6418
420	4658	6406
421	4668	6394
422	4679	6383
423	4691	6372
424	4702	6361
425	4713	6350
426	4724	6340
427	4734	6328
428	4745	6316
429	4755	6304
430	4766	6292
431	4776	6280
432	4788	6270
433	4799	6258
434	4813	6251
435	4824	6241
436	4835	6230
437	4847	6219
438	4858	6208
439	4869	6196
440	4879	6185
441	4890	6173
442	4901	6162
443	4912	6151
444	4922	6138
445	4932	6127
446	4943	6115
447	4954	6104
448	4964	6092
449	4976	6082
450	4987	6071
451	4998	6059
452	5008	6048
453	5019	6036
454	5030	6025
455	5041	6014
456	5052	6003
457	5064	5993
458	5075	5981
459	5085	5969
460	5096	5959
461	5107	5947
462	5117	5935
463	5129	5925
464	5139	5912
465	5149	5900
466	5160	5889
467	5171	5879
468	5182	5867
469	5193	5856
470	5204	5845
471	5216	5835
472	5227	5824
473	5238	5813
474	5249	5801
475	5259	5790
476	5270	5778
477	5281	5767
478	5291	5755
479	5303	5745
480	5314	5734
481	5324	5722
482	5336	5712
483	5348	5702
484	5359	5690
485	5369	5679
486	5381	5668
487	5391	5657
488	5403	5646
489	5413	5634
490	5425	5624
491	5436	5613
492	5446	5601
493	5457	5589
494	5468	5578
495	5479	5567
496	5489	5556
497	5499	5543
498	5510	5533
499	5522	5522
500	5533	5511
501	5543	5499
502	5553	5487
503	5563	5474
504	5574	5463
505	5583	5451
506	5594	5440
507	5607	5430
508	5618	5419
509	5629	5409
510	5641	5398
511	5651	5386
512	5663	5376
513	5674	5365
514	5684	5353
515	5694	5341
516	5706	5330
517	5717	5320
518	5728	5308
519	5738	5296
520	5749	5285
521	5760	5274
522	5771	5263
523	5782	5252
524	5794	5242
525	5805	5231
526	5817	5220
527	5828	5209
528	5838	5198
529	5849	5186
530	5861	5177
531	5872	5166
532	5884	5155
533	5896	5145
534	5907	5134
535	5918	5123
536	5929	5112
537	5940	5101
538	5951	5090
539	5962	5078
540	5972	5066
541	5983	5055
542	5993	5044
543	6003	5032
544	6016	5023
545	6027	5011
546	6038	5000
547	6048	4988
548	6058	4977
549	6070	4966
550	6080	4955
551	6091	4943
552	6100	4931
553	6111	4919
554	6121	4908
555	6131	4896
556	6142	4885
557	6153	4874
558	6164	4863
559	6174	4851
560	6185	4840
561	6195	4828
562	6207	4818
563	6217	4806
564	6229	4796
565	6241	4785
566	6251	4774
567	6263	4763
568	6273	4752
569	6284	4740
570	6294	4729
571	6306	4718
572	6317	4707
573	6327	4696
574	6337	4684
575	6348	4673
576	6358	4661
577	6368	4649
578	6379	4638
579	6389	4627
580	6401	4616
581	6415	4607
582	6425	4595
583	6435	4584
584	6445	4572
585	6456	4561
586	6466	4550
587	6478	4539
588	6489	4528
589	6501	4517
590	6511	4506
591	6521	4494
592	6533	4484
593	6543	4472
594	6553	4460
595	6564	4449
596	6575	4438
597	6586	4427
598	6597	4416
599	6612	4408
600	6624	4398
601	6639	4389
602	6654	4381
603	6666	4370
604	6678	4360
605	6690	4350
606	6702	4339
607	6713	4328
608	6724	4317
609	6736	4306
610	6746	4295
611	6757	4284
612	6768	4273
613	6780	4262
614	6790	4250
615	6802	4240
616	6816	4231
617	6827	4220
618	6839	4209
619	6849	4198
620	6861	4187
621	6873	4177
622	6885	4166
623	6896	4155
624	6907	4144
625	6918	4133
626	6929	4122
627	6941	4111
628	6953	4101
629	6964	4090
630	6976	4079
631	6987	4068
632	6999	4057
633	7010	4046
634	7020	4035
635	7032	4024
636	7042	4013
637	7053	4001
638	7065	3991
639	7075	3979
640	7087	3969
641	7098	3958
642	7108	3946
643	7120	3936
644	7131	3925
645	7143	3914
646	7155	3903
647	7167	3893
648	7178	3882
649	7187	3870
650	7198	3859
651	7208	3847
652	7221	3837
653	7232	3826
654	7243	3815
655	7253	3803
656	7264	3792
657	7275	3781
658	7286	3770
659	7297	3759
660	7308	3747
661	7318	3736
662	7329	3725
663	7340	3714
664	7350	3702
665	7362	3692
666	7372	3680
667	7383	3669
668	7393	3658
669	7404	3646
670	7415	3636
671	7426	3624
672	7436	3613
673	7447	3602
674	7458	3591
675	7469	3579
676	7487	3572
677	7501	3562
678	7515	3553
679	7528	3542
680	7540	3532
681	7552	3521
682	7566	3511
683	7578	3501
684	7592	3491
685	7605	3481
686	7618	3470
687	7629	3459
688	7641	3449
689	7651	3437
690	7662	3426
691	7672	3414
692	7682	3403
693	7694	3392
694	7706	3382
695	7717	3370
696	7729	3360
697	7741	3349
698	7753	3338
699	7765	3327
700	7776	3316
701	7789	3306
702	7799	3295
703	7811	3284
704	7822	3273
705	7832	3261
706	7845	3251
707	7858	3240
708	7869	3230
709	7881	3219
710	7894	3208
711	7907	3198
712	7921	3188
713	7931	3177
714	7944	3166
715	7957	3156
716	7969	3145
717	7981	3134
718	7993	3124
719	8006	3113
720	8018	3102
721	8028	3091
722	8040	3080
723	8052	3069
724	8064	3058
725	8075	3047
726	8086	3036
727	8096	3024
728	8107	3013
729	8116	3001
730	8125	2990
731	8136	2978
732	8146	2967
733	8157	2956
734	8167	2944
735	8178	2933
736	8188	2922
737	8199	2911
738	8210	2899
739	8221	2888
740	8233	2877
741	8243	2866
742	8253	2854
743	8264	2843
744	8273	2831
745	8284	2820
746	8295	2809
747	8306	2798
748	8317	2787
749	8329	2776
750	8340	2765
751	8351	2754
752	8363	2743
753	8374	2732
754	8386	2721
755	8400	2711
756	8413	2700
757	8424	2689
758	8434	2678
759	8446	2667
760	8457	2656
761	8468	2644
762	8481	2634
763	8496	2624
764	8509	2613
765	8521	2603
766	8532	2592
767	8542	2580
768	8554	2569
769	8565	2558
770	8573	2546
771	8586	2535
772	8598	2525
773	8610	2514
774	8620	2502
775	8630	2491
776	8641	2480
777	8652	2468
778	8663	2457
779	8675	2446
780	8686	2435
781	8697	2424
782	8709	2413
783	8719	2402
784	8729	2390
785	8741	2380
786	8753	2369
787	8763	2357
788	8773	2346
789	8786	2335
790	8796	2324
791	8807	2313
792	8817	2301
793	8827	2290
794	8839	2279
795	8850	2268
796	8860	2256
797	8870	2245
798	8880	2234
799	8891	2222
800	8903	2211
801	8913	2200
802	8924	2189
803	8934	2178
