iter	Logloss
0	0.6917721768
1	0.6904316396
2	0.688614736333	0.686523113944	0.685100227455	0.684070456	06	0.683058517	07	0.681956098	08	0.68048889	0.9	0.679483610	010	0.678460111	011	0.677421612	012	0.676505913	013	0.674622114	114	0.674657415	15	0.6730230016	116	0.673108117	017	0.67222218	0.6714406556
19	0.6706245212
20	0.6698183801
21	0.6689920594
22	0.6680566279
23	0.667598727
24	0.666807254
25	0.6663173422
26	0.66544087
27	0.6645373299
28	0.6635577326
29	0.6630069633
30	0.6624552433
31	0.6615968407
32	0.6608027684
33	0.6600983559
34	0.659430525
35	0.6586740308
36	0.657948332
37	0.657221797
38	0.6563828647
39	0.6557033195
40	0.6549767935
41	0.6545014403
42	0.6539554344
43	0.6534047087
44	0.6528495726
45	0.6522741216
46	0.6518370059
47	0.6514019199
48	0.6505089918
49	0.6500534283
50	0.6496202633
51	0.6489547294
52	0.6485447437
53	0.647914952
54	0.6474840382
55	0.6470062456
56	0.6463375694
57	0.6458639416
58	0.6449682284
59	0.6444659053
60	0.6440461744
61	0.6433887346
62	0.6429874489
63	0.6426491883
64	0.6422123498
65	0.6418597376
66	0.6414892741
67	0.6410346682
68	0.6406543562
69	0.640314558
70	0.6397737631
71	0.6392791474
72	0.6388495882
73	0.638168209
74	0.6377624781
75	0.6371360285
76	0.6368595782
77	0.6364918875
78	0.6361316729
79	0.635794343
80	0.6354619622
81	0.6350096125
82	0.6345873537
83	0.6341752136
84	0.633684	084	0.6287850525
85	0.6282755698
86	0.6279406801
87	0.6274741373
88	0.6270394531
89	0.6264967142
90	0.6259456161
91	0.6255446379
92	0.6247773541
93	0.6244148743
94	0.6240084866
95	0.6236300124
96	0.6232338597
97	0.6227461736
98	0.6221227737
99	0.6215260105
100	0.6210148596
101	0.6205385526
102	0.6201492722
103	0.6196052494
104	0.6191130288
105	0.6186090801
106	0.6182221025
107	0.6178983581
108	0.6175527142
109	0.6170401184
110	0.6166351909
111	0.6163614659
112	0.6160076522
113	0.6157564023
114	0.615219011
115	0.6148205346
116	0.6145458463
117	0.61420489
118	0.6138830569
119	0.6135575199
120	0.6132634089
121	0.612902272
122	0.6124830646
123	0.6120737677
124	0.6115879743
125	0.6112251314
126	0.6108844139
127	0.6105435583
128	0.610167733
129	0.6097666718
130	0.6092753347
131	0.6090465135
132	0.6087753759
133	0.6085198555
134	0.6081396952
135	0.6077370521
136	0.6074466459
137	0.6071611683
138	0.6066521778
139	0.6064649196
140	0.6060755384
141	0.6058477324
142	0.605328792
143	0.6047809875
144	0.604570879
145	0.6039295845
146	0.6034833206
147	0.6030520162
148	0.6025498945
149	0.6020358457
150	0.6014999503
151	0.6010371181
152	0.6005909363
153	0.6000533817
154	0.59963432
155	0.5990171409
156	0.5987872245
157	0.5983818718
158	0.5979331335
159	0.5976783902
160	0.5972743004
161	0.596938655
162	0.5964285637
163	0.5960423999
164	0.5955548491
165	0.5952933019
166	0.5950345183
167	0.5947832401
168	0.5943691776
169	0.594057002
170	0.5936951325
171	0.593233416
172	0.5927922417
173	0.5922360657
174	0.5918190627
175	0.5912909376
176	0.5908876414
177	0.590602768
178	0.5900582206
179	0.5896603845
180	0.5894212664
181	0.5889732427
182	0.5886098433
183	0.5883361904
184	0.5878350498
185	0.5874680258
186	0.5871351302
187	0.5864922079
188	0.5863276413
189	0.585928267
190	0.5856031102
191	0.5850412669
192	0.5847413574
193	0.5842560134
194	0.5839940042
195	0.5833782559
196	0.5832036536
197	0.5828570825
198	0.5825417341
199	0.5821885446
200	0.5819328574
201	0.5815508671
202	0.5811641597
203	0.5809062044
204	0.5807535817
205	0.5804348089
206	0.5800406144
207	0.5796788599
208	0.5793416554
209	0.5790170141
210	0.5787961152
211	0.5784377702
212	0.5779542565
213	0.5775057344
214	0.5772056493
215	0.5769115679
216	0.5765758792
217	0.5763449287
218	0.5761677053
219	0.5759129959
220	0.575615653
221	0.5753683543
222	0.5751501342
223	0.5748777694
224	0.5746761453
225	0.5743882849
226	0.5741280087
227	0.5737792794
228	0.5735459423
229	0.5732830542
230	0.5730226562
231	0.5727747779
232	0.5725613124
233	0.5722353028
234	0.5719902631
235	0.5716324978
236	0.571365299
237	0.5711037679
238	0.570887605
239	0.5703115226
240	0.5699935401
241	0.5697561761
242	0.5694515661
243	0.5692480216
244	0.568986984
245	0.5688013304
246	0.5684157678
247	0.5681991409
248	0.5679536136
249	0.5676526586
250	0.5673230096
251	0.5669967363
252	0.5666562905
253	0.5664726351
254	0.5661239412
255	0.565872777
256	0.5656839832
257	0.5655232573
258	0.5650849845
259	0.564823393
260	0.5645240113
261	0.5641102152
262	0.5638530223
263	0.5633728952
264	0.5632221267
265	0.5628816729
266	0.562656866
267	0.5624170093
268	0.5621610308
269	0.5618655978
270	0.5615781266
271	0.5612999599
272	0.5611579667
273	0.5608161912
274	0.5605734166
275	0.5603587825
276	0.5600224937
277	0.5596711195
278	0.5593475608
279	0.5593024568
280	0.5589994467
281	0.5585173452
282	0.5581083832
283	0.5576639615
284	0.5573190385
285	0.5569927038
286	0.5568219602
287	0.556340288	0288	0.555981289	0289	0.555706290	0290	0.5553377192
291	0.5548172154
292	0.5546141579
293	0.55423294	0.294	0.55397295	0.295	0.55376296	0.296	0.55353297	0.297	0.55331298	0.298	0.55298299	0.299	0.55252300	0.300	0.55193301	0.301	0.55157302	0.302	0.55117303	0.303	0.55097304	0.304	0.55066305	0.305	0.55033306	0.306	0.54995307	0.307	0.5495308	0.5308	0.5492309	0.5309	0.5489310	0.5310	0.5486311	0.5311	0.5483312	0.5312	0.548313	0.55313	0.547314	0.55314	0.547315	0.55315	0.546316	0.54316	0.546317	0.54317	0318	318	0.54318	0319319	0.548319	0.54320	0.548320	0.54321	0.548321	0.54322	0.5478183344
323	0.5475619002
324	0.5472685218
325	0.5469900311
326	0.5467939797
327	0.5465082048
328	0.5461639136
329	0.5457806344
330	0.5453630065
331	0.545069328
332	0.5449217672
333	0.5445819212
334	0.5444144761
335	0.5440643458
336	0.5437150042
337	0.5434459994
338	0.5431075203
339	0.5426912196
340	0.5424709128
341	0.54176565
342	0.5412149895
343	0.540824049
344	0.54057336
345	0.5401808201
346	0.5400472316
347	0.5397628112
348	0.5396009277
349	0.5392190843
350	0.5388746658
351	0.5384956156
352	0.5382576813
353	0.5379346797
354	0.5375572604
355	0.5370632936
356	0.5366797955
357	0.5363887534
358	0.5361283652
359	0.5358514396
360	0.5355509087
361	0.5352405038
362	0.534750259
363	0.5343927426
364	0.5340967374
365	0.5338459586
366	0.5336351345
367	0.5332940509
368	0.5331171662
369	0.5327725123
370	0.5324953887
371	0.5322810869
372	0.5319460837
373	0.5316897222
374	0.531478125
375	0.5310838023
376	0.5305854856
377	0.5303820775
378	0.5300787465
379	0.5296793359
380	0.5293230334
381	0.5289203091
382	0.5285873952
383	0.5283914758
384	0.5281469875
385	0.5276251259
386	0.5272009511
387	0.5267729762
388	0.5264791107
389	0.5261671769
390	0.5258257697
391	0.5254368188
392	0.5249319873
393	0.5245784467
394	0.5243166455
395	0.524173903
396	0.5238259938
397	0.5234963011
398	0.5231704138
399	0.5228903588
400	0.5226576148
401	0.5224386657
402	0.5222651645
403	0.5219340092
404	0.5216840077
405	0.5215785299
406	0.5213318084
407	0.5210932983
408	0.5207134743
409	0.5203894798
410	0.5202250714
411	0.5199630359
412	0.5196485682
413	0.5193825185
414	0.5189899516
415	0.5185319407
416	0.5180720592
417	0.517756965
418	0.5174176579
419	0.5170707113
420	0.5167436803
421	0.5164330749
422	0.5161320835
423	0.5159026999
424	0.5155604418
425	0.5152195278
426	0.5148669896
427	0.514570712
428	0.5141018522
429	0.5137150643
430	0.5133816099
431	0.5130426528
432	0.5126878675
433	0.512410204
434	0.5120691342
435	0.5118418324
436	0.5114091694
437	0.5108887831
438	0.5106390987
439	0.5104187158
440	0.5099559014
441	0.5096243849
442	0.5093229438
443	0.5090427643
444	0.5088064962
445	0.5085469196
446	0.5083390763
447	0.5079883929
448	0.5077302566
449	0.5075020112
450	0.5070673412
451	0.5068204305
452	0.5065387555
453	0.5062866009
454	0.5060020234
455	0.5058766798
456	0.5057405759
457	0.5054165523
458	0.5051045941
459	0.5046938549
460	0.504249397
461	0.5039231484
462	0.5036252188
463	0.5032382121
